iter	RMSE
0	11462.8574
1	11205.32351
2	10950.00348
3	10713.12191
4	10482.86571
5	10264.38097
6	10064.28905
7	9847.281793
8	9662.721714
9	9462.229919
10	9268.930289
11	9110.31899
12	8935.978585
13	8757.280885
14	8584.332239
15	8420.5482
16	8263.438489
17	8114.554531
18	7968.293415
19	7824.765698
20	7693.254354
21	7563.066452
22	7440.062991
23	7315.793268
24	7200.20882
25	7084.891029
26	6971.839051
27	6870.113943
28	6786.708247
29	6686.518113
30	6588.609391
31	6510.309952
32	6422.902872
33	6338.685045
34	6257.415112
35	6178.586396
36	6112.479359
37	6043.129074
38	5973.763872
39	5914.915994
40	5853.142705
41	5801.84267
42	5749.509072
43	5691.929094
44	5636.073949
45	5586.196131
46	5536.305724
47	5500.006132
48	5458.090893
49	5413.412889
50	5372.319982
51	5337.308667
52	5299.840473
53	5264.242327
54	5228.166762
55	5194.531612
56	5166.84203
57	5140.379782
58	5109.918992
59	5081.342343
60	5059.616796
61	5037.20891
62	5022.679018
63	5002.893377
64	4979.047512
65	4956.984012
66	4937.861749
67	4915.090605
68	4895.981399
69	4879.498338
70	4865.404507
71	4844.872592
72	4832.310711
73	4813.052657
74	4795.967063
75	4780.050625
76	4767.73668
77	4753.625146
78	4738.002589
79	4723.456637
80	4709.200765
81	4701.00343
82	4690.640031
83	4681.155598
84	4672.583016
85	4664.256435
86	4655.546836
87	4648.944285
88	4640.525468
89	4635.325082
90	4629.456873
91	4620.4537
92	4611.821042
93	4603.532939
94	4595.949727
95	4590.505425
96	4583.239293
97	4578.007776
98	4568.777109
99	4565.283313
100	4559.108574
101	4552.110633
102	4546.65141
103	4541.352186
104	4534.681426
105	4529.264889
106	4524.758717
107	4521.8964
108	4517.277806
109	4512.446398
110	4508.656474
111	4504.552254
112	4500.882829
113	4498.187079
114	4493.639393
115	4489.119611
116	4485.227196
117	4481.753199
118	4477.575403
119	4475.004095
120	4472.067124
121	4468.642026
122	4465.324532
123	4461.923175
124	4459.0407
125	4455.270181
126	4451.363356
127	4448.611853
128	4445.675791
129	4442.86256
130	4439.687629
131	4433.203911
132	4430.850771
133	4428.030189
134	4424.602204
135	4421.335775
136	4419.427111
137	4417.36671
138	4414.748382
139	4412.339186
140	4409.60096
141	4407.694219
142	4405.498023
143	4403.485221
144	4401.420543
145	4398.162459
146	4396.616877
147	4395.012287
148	4393.500881
149	4391.651142
150	4389.76965
151	4388.171699
152	4385.778427
153	4382.147885
154	4380.764654
155	4379.53073
156	4377.043587
157	4375.190645
158	4374.083048
159	4373.013857
160	4371.266936
161	4369.105654
162	4366.676282
163	4363.663445
164	4362.244462
165	4360.50161
166	4358.86736
167	4357.287263
168	4355.779492
169	4354.477657
170	4352.978245
171	4351.142338
172	4349.381505
173	4347.848149
174	4346.498302
175	4344.329818
176	4342.467981
177	4341.025239
178	4340.026449
179	4339.171972
180	4337.657026
181	4335.724873
182	4335.110839
183	4333.251609
184	4331.947397
185	4331.314754
186	4330.316286
187	4329.366949
188	4328.207666
189	4323.736812
190	4322.321939
191	4321.3204
192	4317.883735
193	4316.704659
194	4315.68345
195	4314.798923
196	4311.714568
197	4310.876084
198	4309.665605
199	4308.262775
200	4307.268359
201	4306.571
202	4305.327223
203	4303.733957
204	4302.342069
205	4301.144752
206	4299.882918
207	4298.684121
208	4297.73059
209	4295.039561
210	4293.978373
211	4293.18662
212	4291.845475
213	4290.55209
214	4288.279335
215	4287.866288
216	4285.674625
217	4283.474957
218	4282.825143
219	4281.44777
220	4280.634439
221	4279.437232
222	4278.319199
223	4276.771315
224	4276.232545
225	4275.184478
226	4274.359728
227	4271.825026
228	4269.718593
229	4267.83319
230	4266.715
231	4265.563104
232	4264.76509
233	4262.816088
234	4261.447008
235	4260.470623
236	4259.412108
237	4257.761067
238	4257.025593
239	4255.801508
240	4254.515787
241	4253.788755
242	4253.000445
243	4251.684955
244	4250.595684
245	4249.972537
246	4248.227504
247	4247.60731
248	4246.82691
249	4245.804546
250	4244.07098
251	4242.927455
252	4240.917732
253	4240.190917
254	4238.994511
255	4237.519185
256	4236.796461
257	4236.171906
258	4234.185212
259	4232.262938
260	4231.542504
261	4230.139037
262	4228.14342
263	4227.051758
264	4223.983256
265	4222.739416
266	4221.969818
267	4221.46191
268	4220.350227
269	4219.610872
270	4218.845698
271	4217.596138
272	4216.508126
273	4215.003067
274	4214.021907
275	4213.367504
276	4212.288535
277	4210.894611
278	4210.071178
279	4209.391536
280	4208.41982
281	4207.674311
282	4206.180578
283	4205.316981
284	4204.216905
285	4203.569241
286	4201.780507
287	4200.529878
288	4198.953742
289	4197.967872
290	4197.151783
291	4195.795267
292	4194.830616
293	4194.257577
294	4192.839093
295	4192.355511
296	4191.690097
297	4189.480079
298	4188.843398
299	4187.938586
